"id","isbn"
2582,"0--912647"
2583,"1--84715"
2584,"0--934840"
2585,"1--85170"
2586,"1--85170"
2587,"0--7944"
2588,"1--62036"
2589,"1--59606"
2590,"1--949061"
2591,"1--84953"
2592,"1--84953"
2593,"1--55713"
2594,"1--4992"
2595,"0--376"
2596,"1--4619"
2596,"1--4384"
2597,"0--9997239"
2598,"1--4912"
2599,"0--85448"
2600,"0--414"
2601,"1--78226"
2602,"1--4621"
2603,"1--60718"
2604,"0--9618683"
2605,"0--8156"
2606,"0--8125"
2606,"1--250"
2607,"0--9994135"
2608,"0--665"
2608,"0--7180"
2608,"1--4003"
2608,"1--78598"
2609,"0--933220"
2610,"0--9634636"
2611,"0--06"
2611,"0--690"
2612,"0--9796479"
2613,"1--879784"
2614,"1--85566"
2615,"0--89555"
2615,"1--61890"
2616,"0--89555"
2617,"0--89555"
2618,"0--908396"
2618,"0--88072"
2619,"0--09"
2620,"0--8008"
2621,"0--426"
2622,"0--07"
2623,"1--84976"
2624,"1--60085"
2625,"0--422"
2626,"1--942768"
2627,"0--8448"
2627,"0--415"
2627,"1--317"
2627,"0--203"
2627,"1--351"
2627,"0--8493"
2627,"1--315"
2627,"0--7484"
2628,"1--4987"
2628,"1--351"
2628,"1--315"
2629,"1--138"
2630,"1--58979"
2631,"1--57258"
2632,"0--340"
2633,"1--4333"
2633,"1--4807"
2633,"1--4938"
2634,"0--8077"
2635,"1--934534"
2636,"0--9955162"
2637,"1--4973"
2638,"1--878907"
2639,"1--4758"
2640,"1--7208"
2641,"1--78741"
2642,"0--300"
2643,"1--59213"
2643,"1--4399"
2644,"0--9573204"
2645,"1--62845"
2646,"1--4822"
2647,"0--500"
2648,"0--500"
2649,"0--500"
2650,"1--78308"
2651,"0--9903082"
2652,"0--930452"
2652,"1--55936"
2653,"1--890348"
2654,"81--87326"
2654,"81--7059"
2655,"0--86577"
2655,"1--62623"
2655,"3--13"
2656,"0--9907224"
2657,"0--88378"
2658,"1--4778"
2659,"1--4299"
2659,"1--250"
2660,"1--59554"
2661,"1--133"
2662,"0--7862"
2663,"0--7593"
2664,"0--314"
2665,"0--7862"
2666,"1--4104"
2666,"1--4713"
2666,"1--4056"
2666,"1--4084"
2666,"0--89621"
2666,"1--4458"
2666,"1--56054"
2666,"0--7862"
2666,"0--7540"
2667,"1--4104"
2668,"1--4448"
2668,"0--7089"
2669,"0--517"
2670,"0--9964852"
2671,"1--85501"
2672,"1--85501"
2673,"1--58925"
2674,"0--525"
2675,"1--60469"
2676,"0--8094"
2677,"0--8094"
2678,"0--9929309"
2679,"1--941040"
2680,"0--665"
2681,"1--78565"
2681,"1--84856"
2681,"1--78116"
2681,"0--85768"
2682,"1--78586"
2683,"1--931514"
2683,"1--5444"
2683,"1--59182"
2683,"1--4278"
2684,"0--7653"
2685,"0--7653"
2685,"0--8125"
2685,"1--250"
